User_ID,Gender,Age,Location,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Points_Rank,Last_login,Days_of_membership,Number_of_Comments_in_public_forum,Number_of_advertisments_posted,Number_of_offline_meetings_attended,Profile_pictures,Friends_ID_list,Risk,Time_spent_chatting
10386,male,34.6,A,Non_Verified,Homosexual,Switch,Men,50.0,10.0,1810.0,32.0,0.0,0.0,0.0,18260,0,2
14,male,32.2,J,Non_Verified,Heterosexual,Dominant,Women,518.0,1.0,2861.0,710.0,9.0,0.0,0.0,"11778,32024,43768,23969,27318,45884,31277",0,225
16721,male,33.6,K,Non_Verified,Heterosexual,Dominant,Women,150.0,3.0,1614.0,25.0,1.0,1.0,45.0,"19805,21721,19802",0,135
16957,male,34.0,H,Non_Verified,Heterosexual,Dominant,Women,114.0,4.0,1607.0,107.0,1.0,0.0,1.0,"40847,38183,9507,42259,5807,28118,24848,37170,32209,20332,2164,34086",0,21562
17125,male,39.5,B,Non_Verified,Heterosexual,Dominant,Women,497.0,5.0,1601.0,600.0,0.0,6.0,8.0,"1320,35739,34231,19097,20197,18069,12330,43342,16604,21404,20811,2524,30340,24409,25775,6079,21510,10864,6987,12956,36424,15522,20432,22788,18996,33406,19805,33414,6493,32383,28350,22154,18162,469,23554",0,21
17220,female,47.8,A,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,127.0,1.0,1596.0,159.0,1.0,9.0,0.0,"23178,22033,9547,30606,15355,9507,17023,2593,19878,10510,13729,21430,16298,25684,9436,22639,3985,20801,4808,27079,20587,8746,11465,24122,29506,8677,2878,18223,13868,22356,19248,28379,18162",0,86212
1726,male,36.7,B,Non_Verified,bicurious,Submisive,Women,18.0,1.0,2512.0,1.0,17.0,0.0,0.0,,0,7340
1750,male,51.0,L,Non_Verified,Heterosexual,Dominant,Nobody,38.0,9.0,2506.0,91.0,0.0,0.0,2.0,28050,0,5
18162,female,29.5,A,Non_Verified,bicurious,Submisive,Nobody_but_maybe,150.0,4.0,1562.0,278.0,0.0,3.0,4.0,"11650,15608,21357,17220,19573,8747,14635,26552,41285,3985,13028,27079,885,23620,20253,17125,26327,20587,30849,28953,9752,13422,24319,23707,13004,24629,15497,6493,19248,8963,27309,13615",0,5059
18820,male,28.0,J,Non_Verified,Heterosexual,Switch,Women,-26.0,1.0,1542.0,4.0,0.0,0.0,0.0,"40351,24148,43311",0,203
19437,male,42.9,A,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,15.0,1.0,1517.0,0.0,0.0,0.0,0.0,"32531,38201,24377,42617",0,122
19732,female,45.4,A,Non_Verified,Heterosexual,Submisive,Nobody,36.0,3.0,1507.0,47.0,0.0,11.0,0.0,"24922,47795,22079,24055,20197,22397,43342,32379,46514,31883,20005,40083,8038,42074,31960,28195,3985,6987,29161,9236,13351,23044,21240,18996,26333,19805,32032,14609,19248,26116,469",0,19878
19781,male,36.1,F,Non_Verified,Heterosexual,Switch,Women,30.0,1.0,1505.0,0.0,0.0,0.0,0.0,"27687,30821",0,8393
19805,male,42.0,H,Verified,Heterosexual,Dominant,Nobody_but_maybe,313.0,1.0,1504.0,51.0,0.0,5.0,0.0,"29362,33755,22397,19878,16604,20811,2524,19732,21510,42074,22639,6987,29161,17125,9236,15522,9326,11465,13422,31150,18996,16721,21721,19248,19802,26116",0,30488
19990,male,36.8,E,Non_Verified,Heterosexual,Submisive,Women,0.0,62.0,1496.0,0.0,0.0,0.0,0.0,,0,2724
20926,male,30.9,A,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,15.0,1.0,1460.0,0.0,0.0,0.0,0.0,,0,641
21471,male,33.9,B,Verified,Heterosexual,Dominant,Women,155.0,3.0,1436.0,59.0,1.0,0.0,0.0,32494,0,0
22458,female,48.6,L,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,236.0,1.0,1396.0,501.0,0.0,0.0,25.0,,0,0
